brand,model,year,mileage,fuel_type,transmission,owners,origin,car_type,seats,condition,price
Toyota,Innova,2016.0,140000.0,Xăng,Số sàn,1.0,Đang cập nhật,Minivan (MPV),8.0,Đã sử dụng,345000000
Hyundai,Tucson,2023.0,20000.0,Xăng,Tự động,,Đang cập nhật,--,,Đã sử dụng,845000000
Mitsubishi,Xforce,2025.0,,Xăng,Tự động,,Nước khác,SUV / Cross over,5.0,Mới,635000000
Toyota,Vios,2023.0,10000.0,Xăng,Tự động,,Việt Nam,--,,Đã sử dụng,483000000
Honda,City,2017.0,80000.0,Xăng,Tự động,,Việt Nam,Sedan,5.0,Đã sử dụng,325000000
VinFast,VF3,2025.0,,Điện,Tự động,,Việt Nam,--,4.0,Mới,299000000
Toyota,Camry,2023.0,33650.0,Xăng,Tự động,,Thái Lan,Sedan,,Đã sử dụng,1350000000
Hyundai,Santa Fe,2017.0,72000.0,Xăng,Tự động,1.0,Nước khác,SUV / Cross over,7.0,Đã sử dụng,635000000
Mazda,2,2022.0,13000.0,Xăng,Tự động,1.0,Thái Lan,SUV / Cross over,5.0,Đã sử dụng,458000000
Chevrolet,Colorado,2019.0,95000.0,Dầu,Tự động,1.0,Thái Lan,Pick-up (bán tải),5.0,Đã sử dụng,395000000
VinFast,VF3,2024.0,,Điện,Tự động,,Việt Nam,Kiểu dáng khác,4.0,Mới,294000000
Chevrolet,Colorado,2017.0,89000.0,Dầu,Tự động,,Thái Lan,--,,Đã sử dụng,420000000
Ford,Transit,2018.0,133000.0,Dầu,Số sàn,1.0,Việt Nam,Minivan (MPV),16.0,Đã sử dụng,465000000
Toyota,Innova,2016.0,85000.0,Xăng,Số sàn,1.0,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,415000000
Hãng khác,Dòng khác,2009.0,100000.0,Xăng,Số sàn,,Đang cập nhật,--,,Đã sử dụng,35000000
Ford,Ranger,2024.0,4600.0,Dầu,Tự động,,Việt Nam,Pick-up (bán tải),5.0,Đã sử dụng,690000000
Mitsubishi,Xpander,2022.0,42000.0,Xăng,Tự động,1.0,Việt Nam,Minivan (MPV),9.0,Đã sử dụng,550000000
Toyota,Venza,2009.0,66899.0,Xăng,Tự động,,Đang cập nhật,--,,Đã sử dụng,455000000
Hyundai,Stargazer,2022.0,38000.0,Xăng,Tự động,1.0,Nước khác,--,,Đã sử dụng,495000000
Ford,EcoSport,2020.0,50000.0,Xăng,Tự động,1.0,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,448000000
Ford,Everest,2025.0,,Dầu,Tự động,,Thái Lan,--,7.0,Mới,1099000000
Peugeot,3008,2020.0,89000.0,Xăng,Tự động,1.0,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,650000000
Ford,Transit,2022.0,111000.0,Dầu,Số sàn,1.0,Việt Nam,Van,16.0,Đã sử dụng,660000000
Toyota,Camry,2016.0,84600.0,Xăng,Tự động,,Việt Nam,Sedan,5.0,Đã sử dụng,570000000
Mitsubishi,Triton,2017.0,152000.0,Dầu,Số sàn,,Thái Lan,Pick-up (bán tải),5.0,Đã sử dụng,410000000
Toyota,Zace,2005.0,0.0,Xăng,Số sàn,,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,150000000
Toyota,Corolla Altis,2021.0,21000.0,Xăng,Tự động,,Việt Nam,Sedan,5.0,Đã sử dụng,625000000
MG,Dòng khác,2023.0,11300.0,Xăng,Tự động,1.0,Trung Quốc,SUV / Cross over,5.0,Đã sử dụng,599000000
Ford,Ranger,2017.0,140000.0,Xăng,Tự động,1.0,Mỹ,Pick-up (bán tải),5.0,Đã sử dụng,580000000
Mitsubishi,Attrage,2018.0,39000.0,Xăng,Tự động,,Đang cập nhật,Sedan,5.0,Đã sử dụng,265000000
BMW,3 Series,2016.0,60000.0,Xăng,Tự động,,Đức,--,,Đã sử dụng,695000000
Volvo,XC90,2018.0,16.0,Xăng,Tự động,1.0,Nước khác,SUV / Cross over,8.0,Đã sử dụng,1750000000
Toyota,Camry,2020.0,69000.0,Xăng,Tự động,,Thái Lan,Sedan,5.0,Đã sử dụng,869000000
Mercedes Benz,GLC,2020.0,40000.0,Xăng,Tự động,1.0,Đang cập nhật,SUV / Cross over,5.0,Đã sử dụng,1398000000
Kia,K5,2022.0,28000.0,Xăng,Tự động,,Đang cập nhật,Sedan,5.0,Đã sử dụng,686000000
Mazda,CX 5,2019.0,57000.0,Xăng,Tự động,,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,668000000
Kia,K5,2022.0,78000.0,Xăng,Tự động,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,720000000
Honda,HR-V,2025.0,,Xăng,Tự động,,Thái Lan,SUV / Cross over,5.0,Mới,699000000
Mitsubishi,Xpander,2024.0,42000.0,Xăng,Tự động,,Nước khác,Minivan (MPV),7.0,Đã sử dụng,600000000
Mitsubishi,Xpander,2024.0,43000.0,Xăng,Tự động,1.0,Nước khác,SUV / Cross over,7.0,Đã sử dụng,600000000
Toyota,Land Cruiser,2016.0,116000.0,Xăng,Tự động,,Việt Nam,SUV / Cross over,8.0,Đã sử dụng,2799000000
Mitsubishi,Xpander,2019.0,92000.0,Xăng,Tự động,1.0,Nước khác,SUV / Cross over,7.0,Đã sử dụng,475000000
Mercedes Benz,GLC,2023.0,5000.0,Xăng,Tự động,1.0,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,2538000000
Mercedes Benz,C Class,2016.0,90000.0,Xăng,Tự động,,Việt Nam,Sedan,5.0,Đã sử dụng,715000000
Mercedes Benz,C Class,2017.0,28000.0,Xăng,Tự động,,Việt Nam,Sedan,5.0,Đã sử dụng,799000000
VinFast,Fadil,2020.0,67000.0,Xăng,Tự động,,Việt Nam,--,,Đã sử dụng,290000000
Mitsubishi,Xpander,2021.0,15000.0,Xăng,Số sàn,,Nước khác,Minivan (MPV),7.0,Đã sử dụng,459000000
Mitsubishi,Triton,2024.0,,Dầu,Tự động,,Thái Lan,Pick-up (bán tải),5.0,Mới,834000000
Ford,Ranger,2025.0,,Dầu,Tự động,,Việt Nam,Pick-up (bán tải),5.0,Mới,979000000
Mitsubishi,Xpander,2022.0,30000.0,Xăng,Tự động,,Đang cập nhật,--,,Đã sử dụng,585000000
Mercedes Benz,C Class,2012.0,79000.0,Xăng,Tự động,,Việt Nam,Sedan,5.0,Đã sử dụng,310000000
Mitsubishi,Xpander,2024.0,42.0,Xăng,Tự động,1.0,Nước khác,Minivan (MPV),7.0,Đã sử dụng,600000000
Daewoo,Magnus,2004.0,120000.0,Xăng,Tự động,,Hàn Quốc,Sedan,5.0,Đã sử dụng,60000000
Mitsubishi,Attrage,2021.0,31000.0,Xăng,Số sàn,,Thái Lan,Sedan,5.0,Đã sử dụng,285000000
Ford,EcoSport,2016.0,80000.0,Xăng,Tự động,1.0,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,340000000
Toyota,Corolla Cross,2020.0,17000.0,Xăng,5,,Thái Lan,SUV / Cross over,5.0,Đã sử dụng,647000000
Toyota,Sienna,2007.0,104000.0,Xăng,Tự động,,Mỹ,Minivan (MPV),8.0,Đã sử dụng,330000000
Suzuki,APV,2007.0,180000.0,Xăng,Số sàn,,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,137200000
Mazda,3,2018.0,36900.0,Xăng,Tự động,1.0,Việt Nam,Hatchback,5.0,Đã sử dụng,460000000
Toyota,Corolla Altis,2009.0,130000.0,Xăng,Tự động,,Việt Nam,Sedan,5.0,Đã sử dụng,278000000
Toyota,Vios,2015.0,68000.0,Xăng,Tự động,1.0,Nhật Bản,Sedan,5.0,Đã sử dụng,315000000
Kia,Carens,2024.0,,Xăng,Tự động,,Việt Nam,SUV / Cross over,7.0,Mới,589000000
Mercedes Benz,C Class,2021.0,18000.0,Xăng,Tự động,,Việt Nam,Sedan,5.0,Đã sử dụng,1155000000
Toyota,Innova,2018.0,86000.0,Xăng,Số sàn,,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,470000000
Nissan,Navara,2016.0,94000.0,Xăng,Tự động,,Đang cập nhật,--,,Đã sử dụng,395000000
Kia,Rio,2014.0,85000.0,Xăng,Tự động,,Hàn Quốc,Hatchback,5.0,Đã sử dụng,285000000
Ford,Ranger,2014.0,140000.0,Dầu,Tự động,1.0,Thái Lan,Pick-up (bán tải),5.0,Đã sử dụng,338000000
Toyota,Veloz Cross,2023.0,26000.0,Xăng,Tự động,,Việt Nam,--,7.0,Đã sử dụng,625000000
Toyota,Camry,2001.0,1268.0,Xăng,Số sàn,,Việt Nam,Sedan,5.0,Đã sử dụng,95000000
Daewoo,Magnus,2005.0,86000.0,Xăng,Tự động,1.0,Hàn Quốc,Sedan,5.0,Đã sử dụng,110000000
Ford,Territory,2025.0,,Xăng,Tự động,,Việt Nam,SUV / Cross over,5.0,Mới,889000000
Honda,Brio,2021.0,14000.0,Xăng,Tự động,1.0,Nước khác,Hatchback,,Đã sử dụng,395000000
Kia,Morning,2022.0,11000.0,Xăng,Tự động,,Việt Nam,Hatchback,,Đã sử dụng,375000000
Toyota,Innova,2024.0,,Xăng,Số sàn,,Việt Nam,--,8.0,Mới,755000000
Toyota,Corolla Altis,2022.0,25000.0,Xăng,Tự động,1.0,Thái Lan,Sedan,5.0,Đã sử dụng,645000000
Mazda,6,2013.0,123456.0,Xăng,Tự động,1.0,Nhật Bản,Sedan,5.0,Đã sử dụng,395000000
Hyundai,Creta,2023.0,15000.0,Xăng,Tự động,,Nước khác,SUV / Cross over,5.0,Đã sử dụng,579000000
Mazda,CX 5,2019.0,79000.0,Xăng,Tự động,1.0,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,629000000
Toyota,Vios,2022.0,81000.0,Xăng,Số sàn,1.0,Việt Nam,Sedan,,Đã sử dụng,345000000
Toyota,Vios,2024.0,4700.0,Xăng,Số sàn,,Việt Nam,Sedan,5.0,Đã sử dụng,405000000
Volkswagen,Polo,2016.0,38000.0,Xăng,Tự động,,Ấn Độ,Hatchback,5.0,Đã sử dụng,320000000
Toyota,Corolla Cross,2020.0,49000.0,Xăng,Tự động,1.0,Thái Lan,SUV / Cross over,5.0,Đã sử dụng,690000000
Toyota,Innova,2018.0,86438.0,Xăng,Số sàn,1.0,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,420000000
Mazda,3,2018.0,70000.0,Xăng,Tự động,1.0,Việt Nam,Hatchback,5.0,Đã sử dụng,450000000
Hyundai,Santa Fe,2024.0,8000.0,Dầu,Tự động,1.0,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,1400000000
MG,MGZS,2021.0,24000.0,Xăng,Tự động,,Thái Lan,--,,Đã sử dụng,449000000
Mazda,2,2019.0,31000.0,Xăng,Tự động,1.0,Thái Lan,Hatchback,5.0,Đã sử dụng,405000000
Toyota,Innova,2019.0,37000.0,Xăng,Số sàn,,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,555000000
Toyota,Veloz Cross,2022.0,35000.0,Xăng,Tự động,1.0,Nước khác,Minivan (MPV),9.0,Đã sử dụng,575000000
Kia,Carnival,2022.0,47000.0,Xăng,Tự động,1.0,Việt Nam,Minivan (MPV),7.0,Đã sử dụng,1228000000
Mazda,CX 5,2020.0,54000.0,Xăng,Tự động,,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,688000000
Mitsubishi,Outlander,2023.0,8700.0,Xăng,Tự động,,Việt Nam,--,,Đã sử dụng,838000000
Mitsubishi,Triton,2022.0,31000.0,Dầu,Tự động,1.0,Thái Lan,Pick-up (bán tải),2.0,Đã sử dụng,555000000
Toyota,Innova,2009.0,28000.0,Xăng,Số sàn,1.0,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,130000000
Chevrolet,Dòng khác,2015.0,1234.0,Xăng,Tự động,,Mỹ,Coupe (2 cửa),4.0,Đã sử dụng,955000000
Ford,Fiesta,2016.0,67000.0,Xăng,Tự động,,Đang cập nhật,Hatchback,5.0,Đã sử dụng,245000000
Mazda,CX-30,2024.0,,Xăng,Tự động,,Thái Lan,SUV / Cross over,5.0,Mới,659000000
Mitsubishi,Triton,2021.0,66000.0,Dầu,Tự động,1.0,Thái Lan,Pick-up (bán tải),5.0,Đã sử dụng,559000000
Kia,Morning,2012.0,150000.0,Xăng,Số sàn,,Hàn Quốc,Hatchback,5.0,Đã sử dụng,127000000
Toyota,Camry,2023.0,33600.0,Động cơ Hybrid,Tự động,1.0,Thái Lan,Sedan,5.0,Đã sử dụng,1350000000
VinFast,VF6,2025.0,,Điện,Tự động,,Việt Nam,SUV / Cross over,5.0,Mới,694000000
Kia,Morning,2014.0,100.0,Xăng,Số sàn,,Đang cập nhật,Hatchback,5.0,Đã sử dụng,145000000
Toyota,Camry,2017.0,90000.0,Xăng,Tự động,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,608000000
Honda,Civic,2021.0,33000.0,Xăng,Tự động,1.0,Thái Lan,Sedan,5.0,Đã sử dụng,679000000
Kia,Sorento,2014.0,89000.0,Xăng,Tự động,1.0,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,459000000
Ford,Focus,2019.0,31000.0,Xăng,Tự động,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,458000000
Suzuki,Cultis wagon,2004.0,300000.0,Xăng,Số sàn,,Nhật Bản,--,,Đã sử dụng,79000000
Toyota,Innova,2020.0,36000.0,Xăng,Số sàn,,Việt Nam,--,8.0,Đã sử dụng,568000000
Lexus,RX,2023.0,10000.0,Xăng,Tự động,1.0,Nhật Bản,SUV / Cross over,5.0,Đã sử dụng,4450000000
Hyundai,Tucson,2020.0,80000.0,Xăng,Tự động,,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,639000000
Hyundai,Creta,2025.0,,Xăng,Tự động,,Việt Nam,--,5.0,Mới,569000000
Peugeot,3008,2022.0,23000.0,Xăng,Tự động,1.0,Việt Nam,--,5.0,Đã sử dụng,755000000
Honda,Accord,2022.0,38000.0,Xăng,Tự động,1.0,Thái Lan,Sedan,5.0,Đã sử dụng,979000000
LandRover,Defender,2023.0,,Xăng,Tự động,,Nước khác,SUV / Cross over,8.0,Mới,7039000000
Hãng khác,Dòng khác,2022.0,99000.0,Dầu,Số sàn,1.0,Đức,Kiểu dáng khác,,Đã sử dụng,770000000
Ford,Fiesta,2016.0,80000.0,Xăng,Tự động,,Việt Nam,Sedan,5.0,Đã sử dụng,255000000
Lexus,RX,2022.0,40000.0,Xăng,Tự động,1.0,Nhật Bản,SUV / Cross over,5.0,Đã sử dụng,2920000000
LandRover,Range Rover,2024.0,,Xăng,Tự động,,Nước khác,SUV / Cross over,5.0,Mới,12449000000
Chevrolet,Spark,2016.0,70000.0,Xăng,Số sàn,,Mỹ,Hatchback,5.0,Đã sử dụng,98000000
LandRover,Range Rover,2023.0,,Xăng,Tự động,,Nước khác,SUV / Cross over,5.0,Mới,10585000000
Honda,CR V,2021.0,40000.0,Xăng,Bán tự động,,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,885000000
Hyundai,Solati,2018.0,170000.0,Dầu,Số sàn,1.0,Việt Nam,Kiểu dáng khác,16.0,Đã sử dụng,720000000
Toyota,Corolla,1985.0,999999.0,Xăng,Số sàn,,Nhật Bản,--,,Đã sử dụng,15000000
LandRover,Range Rover Sport,2024.0,,Xăng,Tự động,,Nước khác,SUV / Cross over,5.0,Mới,7903000000
Chevrolet,Spark,2010.0,150000.0,Xăng,Số sàn,,Việt Nam,Hatchback,5.0,Đã sử dụng,48000000
Mazda,6,2019.0,62000.0,Xăng,Tự động,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,575000000
Mitsubishi,Xpander,2023.0,22000.0,Xăng,Tự động,1.0,Việt Nam,Minivan (MPV),2.0,Đã sử dụng,540000000
LandRover,Range Rover Sport,2023.0,,Xăng,Tự động,,Đang cập nhật,--,,Mới,8129000000
LandRover,Range Rover Sport,2023.0,,Xăng,Tự động,,Đang cập nhật,--,,Mới,8129000000
Kia,Carnival,2022.0,50000.0,Dầu,Tự động,1.0,Việt Nam,Minivan (MPV),7.0,Đã sử dụng,1150000000
Kia,Cerato,2021.0,40000.0,Xăng,Tự động,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,475000000
Mazda,CX 5,2021.0,57000.0,Xăng,Tự động,1.0,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,719000000
Ford,Everest,2018.0,97668.0,Dầu,Tự động,1.0,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,862000000
Honda,Civic,2019.0,5.0,Xăng,Tự động,1.0,Thái Lan,--,,Đã sử dụng,585000000
Mazda,3,2020.0,63000.0,Xăng,Tự động,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,499000000
Mercedes Benz,GLC,2017.0,50000.0,Xăng,Tự động,1.0,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,925000000
Toyota,Innova,2018.0,116000.0,Xăng,Tự động,,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,586000000
Toyota,Innova,2022.0,68000.0,Xăng,Số sàn,1.0,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,630000000
BMW,X6,2020.0,55000.0,Xăng,Tự động,1.0,Mỹ,Coupe (2 cửa),5.0,Đã sử dụng,2550000000
Toyota,Innova,2021.0,59000.0,Xăng,Tự động,1.0,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,701000000
Fiat,Siena,2002.0,12500.0,Xăng,Số sàn,,Việt Nam,Sedan,5.0,Đã sử dụng,39000000
Mercedes Benz,C Class,2016.0,89000.0,Xăng,Tự động,,Đức,Sedan,5.0,Đã sử dụng,685000000
Toyota,Corolla Cross,2022.0,30000.0,Xăng,Tự động,1.0,Thái Lan,SUV / Cross over,5.0,Đã sử dụng,710000000
Mitsubishi,Xpander,2022.0,60000.0,Xăng,Tự động,1.0,Nước khác,Minivan (MPV),9.0,Đã sử dụng,548000000
Hyundai,Elantra,2017.0,95000.0,Xăng,Tự động,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,375000000
Mazda,CX 3,2025.0,,Xăng,Tự động,,Thái Lan,SUV / Cross over,5.0,Mới,522000000
Hyundai,Santa Fe,2024.0,,Xăng,Tự động,,Hàn Quốc,SUV / Cross over,7.0,Mới,1265000000
Mercedes Benz,S Class,2020.0,54000.0,Xăng,Tự động,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,2220000000
Toyota,Innova,2011.0,150000.0,Xăng,Số sàn,,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,248000000
VinFast,Fadil,2022.0,36000.0,Xăng,Tự động,1.0,Việt Nam,Hatchback,4.0,Đã sử dụng,318000000
Ford,Transit,2024.0,39000.0,Dầu,Số sàn,1.0,Việt Nam,Kiểu dáng khác,16.0,Đã sử dụng,760000000
Kia,Soluto,2020.0,48000.0,Xăng,Số sàn,1.0,Hàn Quốc,Sedan,5.0,Đã sử dụng,275000000
Hyundai,Dòng khác,2003.0,999999.0,Xăng,Số sàn,,Đang cập nhật,--,,Đã sử dụng,70000000
Honda,Civic,2008.0,160000.0,Xăng,Tự động,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,199000000
Ford,Ranger,2023.0,34000.0,Dầu,Tự động,1.0,Thái Lan,Pick-up (bán tải),5.0,Đã sử dụng,1175000000
Toyota,Vios,2018.0,66000.0,Xăng,Số sàn,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,299000000
Ford,Explorer,2021.0,77668.0,Xăng,Tự động,1.0,Mỹ,SUV / Cross over,7.0,Đã sử dụng,1671000000
Toyota,Corolla Cross,2021.0,71000.0,Xăng,Tự động,,Thái Lan,SUV / Cross over,5.0,Đã sử dụng,668000000
Toyota,Vios,2016.0,82000.0,Xăng,Số sàn,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,252000000
Toyota,Fortuner,2015.0,39000.0,Xăng,Tự động,1.0,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,575000000
Honda,CR V,2021.0,24000.0,Xăng,Tự động,1.0,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,835000000
VinFast,VF7,2025.0,,Điện,Tự động,,Việt Nam,SUV / Cross over,5.0,Mới,799000000
Toyota,RAV4,2015.0,99000.0,Xăng,Tự động,,Nhật Bản,--,7.0,Đã sử dụng,795000000
Isuzu,Mu X,2019.0,76000.0,Dầu,Tự động,1.0,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,688000000
Ford,Everest,2022.0,55000.0,Dầu,Tự động,1.0,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,985000000
Ford,EcoSport,2021.0,71000.0,Xăng,Tự động,1.0,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,465000000
Ford,EcoSport,2021.0,26000.0,Xăng,Tự động,1.0,Việt Nam,SUV / Cross over,2.0,Đã sử dụng,460000000
Mazda,2,2019.0,67000.0,Xăng,Tự động,,Thái Lan,Sedan,5.0,Đã sử dụng,395000000
Ford,Escape,2002.0,91168.0,Xăng,Tự động,1.0,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,115000000
Toyota,Innova,2011.0,150000.0,Xăng,Số sàn,,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,248000000
Kia,Sorento,2021.0,66000.0,Dầu,Tự động,1.0,Việt Nam,SUV / Cross over,6.0,Đã sử dụng,775000000
Hyundai,Creta,2017.0,70000.0,Xăng,Tự động,1.0,Ấn Độ,SUV / Cross over,5.0,Đã sử dụng,510000000
Honda,HR-V,2024.0,2300.0,Xăng,Tự động,,Đang cập nhật,--,,Đã sử dụng,685000000
Isuzu,Mu X,2018.0,25000.0,Dầu,Tự động,1.0,Thái Lan,SUV / Cross over,5.0,Đã sử dụng,665000000
Hyundai,Palisade,2024.0,,Dầu,Tự động,,Việt Nam,SUV / Cross over,6.0,Mới,1485000000
Mitsubishi,Xforce,2025.0,,Xăng,Tự động,,Nước khác,SUV / Cross over,5.0,Mới,608000000
Toyota,Innova,2017.0,12345.0,Xăng,Số sàn,1.0,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,395000000
Hyundai,Elantra,2019.0,41000.0,Xăng,Tự động,,Việt Nam,Sedan,5.0,Đã sử dụng,445000000
Honda,City,2025.0,,Xăng,Tự động,,Việt Nam,Sedan,5.0,Mới,499000000
Kia,K5,2022.0,59000.0,Xăng,Tự động,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,742000000
Ford,Ranger,2023.0,25000.0,Dầu,Tự động,1.0,Việt Nam,Pick-up (bán tải),5.0,Đã sử dụng,668000000
Hyundai,Accent,2023.0,40000.0,Xăng,Tự động,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,483000000
Toyota,Fortuner,2016.0,102000.0,Xăng,Tự động,,Đang cập nhật,SUV / Cross over,7.0,Đã sử dụng,505000000
Toyota,Innova,2017.0,168423.0,Xăng,Số sàn,,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,360000000
Toyota,Corolla Altis,2023.0,33000.0,Xăng,Tự động,,Thái Lan,--,5.0,Đã sử dụng,718000000
Toyota,Yaris,2018.0,57000.0,Xăng,Tự động,,Thái Lan,Hatchback,5.0,Đã sử dụng,455000000
Mercedes Benz,E Class,2015.0,79000.0,Xăng,Tự động,1.0,Đức,Sedan,5.0,Đã sử dụng,529000000
Mitsubishi,Triton,2020.0,800000.0,Dầu,Tự động,1.0,Thái Lan,Pick-up (bán tải),5.0,Đã sử dụng,565000000
Suzuki,XL 7,2022.0,54000.0,Xăng,Tự động,1.0,Nước khác,SUV / Cross over,7.0,Đã sử dụng,475000000
VinFast,VF6,2025.0,,Điện,Tự động,,Việt Nam,SUV / Cross over,5.0,Mới,694000000
Mitsubishi,Attrage,2022.0,48328.0,Xăng,Tự động,1.0,Thái Lan,Sedan,5.0,Đã sử dụng,370000000
Mazda,3,2024.0,8300.0,Xăng,Tự động,,Việt Nam,Sedan,5.0,Đã sử dụng,625000000
Ford,Everest,2019.0,130000.0,Dầu,Số sàn,1.0,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,635000000
Honda,Odyssey,2016.0,107000.0,Xăng,Tự động,1.0,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,785000000
Toyota,Fortuner,2022.0,70000.0,Dầu,Tự động,1.0,Thái Lan,SUV / Cross over,9.0,Đã sử dụng,1045000000
Hãng khác,Dòng khác,2022.0,46000.0,Xăng,Số sàn,1.0,Việt Nam,--,2.0,Đã sử dụng,220000000
Ford,Transit,2020.0,101000.0,Dầu,Số sàn,1.0,Việt Nam,Kiểu dáng khác,10.0,Đã sử dụng,795000000
Honda,CR V,2021.0,50000.0,Xăng,5,1.0,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,850000000
Mitsubishi,Xpander,2019.0,80000.0,Xăng,Tự động,,Nước khác,Minivan (MPV),7.0,Đã sử dụng,468000000
Ford,Explorer,2017.0,70000.0,Xăng,Tự động,,Mỹ,SUV / Cross over,8.0,Đã sử dụng,880000000
Hyundai,Accent,2019.0,85000.0,Xăng,Số sàn,,Hàn Quốc,--,5.0,Đã sử dụng,275000000
Toyota,Camry,2020.0,100000.0,Xăng,Tự động,,Thái Lan,Sedan,5.0,Đã sử dụng,789000000
Kia,K3,2015.0,100000.0,Xăng,Số sàn,,Việt Nam,Sedan,5.0,Đã sử dụng,278000000
Toyota,Innova Cross,2024.0,,Động cơ Hybrid,Tự động,,Việt Nam,--,7.0,Mới,990000000
Mazda,CX 5,2017.0,12000.0,Xăng,Tự động,,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,545000000
Ford,Everest,2022.0,39668.0,Dầu,Tự động,1.0,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,1196000000
Ford,Ranger,2021.0,77000.0,Xăng,Tự động,,Đang cập nhật,--,,Đã sử dụng,635000000
Mazda,CX 3,2024.0,7500.0,Xăng,Tự động,,Thái Lan,SUV / Cross over,5.0,Đã sử dụng,590000000
Toyota,Dòng khác,1996.0,268.0,Xăng,Số sàn,,Nhật Bản,--,,Đã sử dụng,39000000
Hyundai,Accent,2021.0,45000.0,Xăng,Tự động,1.0,Việt Nam,--,5.0,Đã sử dụng,455000000
Toyota,Fortuner,2025.0,,Dầu,Tự động,,Việt Nam,SUV / Cross over,7.0,Mới,1145000000
Mitsubishi,Xpander,2024.0,42000.0,Xăng,Tự động,,Nhật Bản,Minivan (MPV),,Đã sử dụng,600838686
Volkswagen,Polo,2021.0,15000.0,Xăng,Tự động,1.0,Ấn Độ,Hatchback,5.0,Đã sử dụng,489000000
Ford,Everest,2022.0,30000.0,Dầu,Tự động,,Thái Lan,SUV / Cross over,9.0,Đã sử dụng,1348000000
Hyundai,Creta,2025.0,,Xăng,Tự động,,Hàn Quốc,SUV / Cross over,5.0,Mới,620000000
Daewoo,Lacetti,2004.0,99000.0,Xăng,Số sàn,1.0,Hàn Quốc,Sedan,5.0,Đã sử dụng,89000000
Mazda,CX 5,2017.0,87000.0,Xăng,Tự động,1.0,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,620000000
Ford,Everest,2024.0,6000.0,Dầu,Tự động,1.0,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,1330000000
Toyota,Innova,2017.0,79500.0,Xăng,Tự động,,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,516000000
Ford,Everest,2022.0,34000.0,Xăng,Tự động,1.0,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,1194000000
Toyota,Vios,2022.0,78000.0,Xăng,Tự động,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,418000000
Toyota,Camry,2001.0,249000.0,Xăng,Số sàn,,Nhật Bản,Sedan,5.0,Đã sử dụng,145000000
Toyota,Hiace,2002.0,120000.0,Xăng,Số sàn,1.0,Nhật Bản,Van,7.0,Đã sử dụng,28000000
