brand,model,year,mileage,fuel_type,transmission,owners,origin,car_type,seats,condition,price
Mercedes Benz,C Class,2019.0,26000.0,Xăng,Tự động,,Đang cập nhật,Sedan,5.0,Đã sử dụng,1139000000
Mercedes Benz,GLC,2022.0,20000.0,Xăng,Tự động,1.0,Việt Nam,--,5.0,Đã sử dụng,2250000000
Honda,HR-V,2022.0,25000.0,Xăng,Tự động,,Thái Lan,SUV / Cross over,5.0,Đã sử dụng,795000000
Toyota,Fortuner,2015.0,87500.0,Xăng,Tự động,,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,524000000
Ford,Everest,2019.0,51668.0,Dầu,Tự động,1.0,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,881000000
Mitsubishi,Xpander,2019.0,50800.0,Xăng,Tự động,1.0,Nước khác,Minivan (MPV),5.0,Đã sử dụng,460000000
Ford,Focus,2017.0,68668.0,Xăng,Tự động,1.0,Việt Nam,Hatchback,5.0,Đã sử dụng,470000000
VinFast,Lux SA2.0,2024.0,,Điện,Tự động,,Việt Nam,SUV / Cross over,5.0,Mới,779000000
Kia,Soluto,2022.0,83000.0,Xăng,Số sàn,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,285000000
Toyota,Wigo,2021.0,14000.0,Xăng,Tự động,1.0,Nước khác,Hatchback,5.0,Đã sử dụng,338000000
Ford,Ranger,2020.0,90000.0,Dầu,Tự động,1.0,Thái Lan,Pick-up (bán tải),5.0,Đã sử dụng,686000000
Mazda,CX 5,2021.0,60000.0,Xăng,Tự động,1.0,Việt Nam,--,,Đã sử dụng,495000000
Mitsubishi,Xpander,2022.0,48000.0,Xăng,Tự động,,Nước khác,--,,Đã sử dụng,498000000
Mitsubishi,Attrage,2021.0,23000.0,Xăng,Tự động,1.0,Thái Lan,Sedan,5.0,Đã sử dụng,355000000
Mercedes Benz,E Class,2015.0,61000.0,Xăng,Tự động,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,560000000
Lexus,LS,2023.0,17000.0,Xăng,Tự động,1.0,Nước khác,Sedan,5.0,Đã sử dụng,6199000000
VinFast,Lux SA2.0,2020.0,36000.0,Xăng,Tự động,,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,750000000
Honda,CR V,2018.0,75000.0,Xăng,Tự động,1.0,Thái Lan,--,,Đã sử dụng,739000000
Mercedes Benz,GLC,2023.0,,Xăng,Tự động,,Việt Nam,SUV / Cross over,5.0,Mới,2556000000
Mercedes Benz,C Class,2015.0,49000.0,Xăng,Tự động,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,679000000
Kia,Morning,2012.0,190000.0,Xăng,Số sàn,,Hàn Quốc,Hatchback,5.0,Đã sử dụng,140000000
Mazda,CX 8,2021.0,51000.0,Xăng,Tự động,1.0,Đang cập nhật,SUV / Cross over,7.0,Đã sử dụng,750000000
Toyota,Vios,2021.0,65000.0,Xăng,Tự động,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,390000000
Toyota,Camry,2005.0,146000.0,Xăng,Số sàn,,Việt Nam,Sedan,4.0,Đã sử dụng,188000000
Mitsubishi,Outlander,2020.0,22700.0,Xăng,5,1.0,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,629000000
Hyundai,Kona,2020.0,21000.0,Xăng,Tự động,1.0,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,528000000
Honda,HR-V,2019.0,77000.0,Xăng,Tự động,,Thái Lan,SUV / Cross over,5.0,Đã sử dụng,545000000
Mercedes Benz,E Class,2018.0,45000.0,Xăng,Tự động,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,1139000000
Toyota,Fortuner,2019.0,79.0,Dầu,Tự động,,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,760000000
Mitsubishi,Jolie,2005.0,225000.0,Xăng,Số sàn,1.0,Đang cập nhật,--,8.0,Đã sử dụng,138000000
Kia,Sedona,2015.0,86000.0,Xăng,Tự động,1.0,Hàn Quốc,Minivan (MPV),7.0,Đã sử dụng,470000000
Kia,Sorento,2022.0,31900.0,Xăng,Tự động,1.0,Hàn Quốc,SUV / Cross over,6.0,Đã sử dụng,899000000
BMW,i8,2014.0,42000.0,Động cơ Hybrid,Tự động,1.0,Đức,Coupe (2 cửa),4.0,Đã sử dụng,2299000000
Mercedes Benz,GLC,2020.0,56000.0,Xăng,Tự động,1.0,Đức,SUV / Cross over,5.0,Đã sử dụng,1139000000
BMW,5 Series,2004.0,12345.0,Xăng,Tự động,,Đức,--,,Đã sử dụng,86000000
Toyota,Vios,2017.0,54700.0,Xăng,Tự động,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,325000000
Mitsubishi,Xpander,2018.0,41000.0,Xăng,Tự động,1.0,Nước khác,Minivan (MPV),5.0,Đã sử dụng,445000000
Ford,Escape,2005.0,160000.0,Xăng,Tự động,1.0,Mỹ,SUV / Cross over,5.0,Đã sử dụng,135000000
VinFast,Lux SA2.0,2019.0,47000.0,Xăng,Tự động,,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,710000000
Chevrolet,Captiva,2008.0,95000.0,Xăng,Số sàn,,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,168000000
Hyundai,Santa Fe,2020.0,60000.0,Dầu,Tự động,,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,895000000
Audi,A6,2015.0,78000.0,Xăng,Tự động,1.0,Đức,Sedan,5.0,Đã sử dụng,639000000
Ford,Ranger,2018.0,87000.0,Dầu,Tự động,1.0,Thái Lan,Pick-up (bán tải),5.0,Đã sử dụng,598000000
Mercedes Benz,GLC,2017.0,145000.0,Xăng,Tự động,1.0,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,888000000
Hãng khác,Dòng khác,2009.0,2000.0,Xăng,Tự động,1.0,Hàn Quốc,Kiểu dáng khác,5.0,Đã sử dụng,100000000
Ford,Everest,2021.0,78000.0,Dầu,Tự động,1.0,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,988000000
Mazda,2,2022.0,41000.0,Xăng,Tự động,,Thái Lan,Hatchback,5.0,Đã sử dụng,455000000
Ford,Transit,2019.0,155000.0,Dầu,Số sàn,1.0,Việt Nam,Van,16.0,Đã sử dụng,490000000
Toyota,Fortuner,2017.0,79000.0,Xăng,Tự động,1.0,Nước khác,SUV / Cross over,7.0,Đã sử dụng,650000000
Isuzu,Mu X,2019.0,158.0,Dầu,Số sàn,,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,475000000
Toyota,Innova,2012.0,90000.0,Xăng,Tự động,,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,328000000
Kia,Seltos,2021.0,22000.0,Xăng,Tự động,1.0,Hàn Quốc,SUV / Cross over,5.0,Đã sử dụng,599000000
Mercedes Benz,C Class,2020.0,45000.0,Xăng,Tự động,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,1099000000
Ford,Territory,2023.0,25000.0,Xăng,Tự động,,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,845000000
Chevrolet,Orlando,2017.0,82000.0,Xăng,Tự động,1.0,Mỹ,Minivan (MPV),7.0,Đã sử dụng,305000000
Peugeot,408,2024.0,4200.0,Xăng,Tự động,1.0,Nước khác,Sedan,5.0,Đã sử dụng,990000000
Mercedes Benz,C Class,2009.0,100000.0,Xăng,Tự động,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,225000000
Mitsubishi,Pajero Sport,2015.0,130000.0,Xăng,Tự động,,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,390000000
Mitsubishi,Grandis,2008.0,130000.0,Xăng,Tự động,1.0,Nhật Bản,Minivan (MPV),5.0,Đã sử dụng,330000000
Ford,Everest,2019.0,88000.0,Dầu,Tự động,1.0,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,745000000
Mitsubishi,Xpander Cross,2024.0,31000.0,Xăng,Tự động,1.0,Nước khác,SUV / Cross over,7.0,Đã sử dụng,635000000
Ford,Ranger,2022.0,38000.0,Dầu,Tự động,1.0,Việt Nam,Pick-up (bán tải),5.0,Đã sử dụng,745000000
Ford,Tourneo,2019.0,48000.0,Xăng,Tự động,1.0,Việt Nam,Minivan (MPV),7.0,Đã sử dụng,720000000
LandRover,Range Rover Evoque,2014.0,46000.0,Xăng,Tự động,1.0,Nước khác,SUV / Cross over,5.0,Đã sử dụng,739000000
VinFast,Lux A2.0,2021.0,48000.0,Xăng,Tự động,,Việt Nam,Sedan,5.0,Đã sử dụng,580000000
Kia,Rondo,2015.0,76000.0,Xăng,Tự động,,Đang cập nhật,Minivan (MPV),7.0,Đã sử dụng,348000000
Toyota,Innova,2018.0,63000.0,Xăng,Số sàn,1.0,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,425000000
Toyota,Corolla Cross,2021.0,54000.0,Xăng,Tự động,1.0,Thái Lan,SUV / Cross over,5.0,Đã sử dụng,705000000
Toyota,Sienna,2016.0,59000.0,Xăng,Tự động,,Mỹ,Minivan (MPV),7.0,Đã sử dụng,1650000000
Ford,Ranger,2022.0,68200.0,Dầu,Tự động,1.0,Việt Nam,Pick-up (bán tải),5.0,Đã sử dụng,565000000
Toyota,Innova,2017.0,110000.0,Xăng,Số sàn,,Đang cập nhật,Minivan (MPV),8.0,Đã sử dụng,398000000
Ford,Explorer,2017.0,69668.0,Xăng,Tự động,1.0,Mỹ,SUV / Cross over,7.0,Đã sử dụng,966000000
Ford,Everest,2018.0,75000.0,Dầu,Tự động,,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,865000000
Toyota,Hilux,2020.0,53000.0,Dầu,Tự động,1.0,Thái Lan,Pick-up (bán tải),5.0,Đã sử dụng,599000000
Audi,A6,2014.0,62000.0,Xăng,Tự động,1.0,Đức,Sedan,5.0,Đã sử dụng,589000000
Mazda,3,2004.0,120.0,Xăng,Số sàn,,Việt Nam,Sedan,5.0,Đã sử dụng,105000000
Mercedes Benz,C Class,2019.0,68000.0,Xăng,Tự động,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,999000000
Ford,Territory,2023.0,24500.0,Xăng,Tự động,1.0,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,862000000
Mazda,CX 5,2019.0,86000.0,Xăng,Tự động,,Việt Nam,--,,Đã sử dụng,620000000
Ford,Ranger,2023.0,16000.0,Dầu,Tự động,,Việt Nam,Pick-up (bán tải),5.0,Đã sử dụng,889000000
VinFast,Fadil,2020.0,42000.0,Xăng,Tự động,1.0,Việt Nam,Hatchback,5.0,Đã sử dụng,315000000
Ford,Ranger,2023.0,32668.0,Dầu,Tự động,1.0,Thái Lan,Minivan (MPV),5.0,Đã sử dụng,1176000000
Mercedes Benz,S Class,2017.0,80000.0,Xăng,Tự động,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,1320000000
Ford,Fiesta,2011.0,100000.0,Xăng,Tự động,,Việt Nam,Sedan,5.0,Đã sử dụng,195000000
Ford,EcoSport,2018.0,79668.0,Xăng,Tự động,1.0,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,426000000
Ford,Everest,2022.0,31000.0,Dầu,Tự động,1.0,Mỹ,SUV / Cross over,7.0,Đã sử dụng,1299000000
Ford,Everest,2018.0,156668.0,Dầu,Tự động,1.0,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,826000000
Mazda,CX 5,2017.0,79500.0,Xăng,Tự động,,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,512000000
Ford,Everest,2018.0,88000.0,Dầu,Tự động,1.0,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,829000000
Toyota,Vios,2021.0,52000.0,Xăng,Tự động,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,405000000
Hyundai,Accent,2018.0,98000.0,Xăng,Số sàn,,Việt Nam,Sedan,5.0,Đã sử dụng,265000000
Kia,Sedona,2018.0,84000.0,Dầu,Tự động,,Việt Nam,Minivan (MPV),7.0,Đã sử dụng,740000000
Kia,Cerato,2019.0,54000.0,Xăng,Tự động,,Việt Nam,Sedan,5.0,Đã sử dụng,479000000
Mitsubishi,Xpander,2020.0,71000.0,Xăng,Tự động,1.0,Nước khác,SUV / Cross over,7.0,Đã sử dụng,470000000
Kia,Morning,2022.0,21000.0,Xăng,Tự động,1.0,Việt Nam,Hatchback,,Đã sử dụng,365000000
Mercedes Benz,GLC Class,2018.0,80000.0,Xăng,Tự động,,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,1099000000
Toyota,Innova,2012.0,120000.0,Xăng,Số sàn,,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,240000000
Toyota,Fortuner,2019.0,86000.0,Xăng,Tự động,,Nhật Bản,--,7.0,Đã sử dụng,719000000
Ford,Mustang,2015.0,49000.0,Xăng,Tự động,,Thái Lan,Coupe (2 cửa),,Đã sử dụng,1299000000
Kia,Rio,2015.0,58451.0,Xăng,Tự động,1.0,Hàn Quốc,Sedan,5.0,Đã sử dụng,323000000
Ford,Ranger,2018.0,56000.0,Dầu,Tự động,1.0,Thái Lan,Pick-up (bán tải),5.0,Đã sử dụng,630000000
Ford,Everest,2022.0,48000.0,Dầu,Tự động,,Thái Lan,SUV / Cross over,9.0,Đã sử dụng,1179000000
Mazda,3,2017.0,85000.0,Xăng,Tự động,1.0,Việt Nam,Hatchback,5.0,Đã sử dụng,420000000
Chevrolet,Cruze,2017.0,1234.0,Xăng,Tự động,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,305000000
Mazda,3,2022.0,38000.0,Xăng,Tự động,1.0,Việt Nam,Hatchback,5.0,Đã sử dụng,588000000
Toyota,Rush,2020.0,77000.0,Xăng,Tự động,,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,488000000
VinFast,Lux SA2.0,2019.0,70000.0,Xăng,Tự động,,Việt Nam,--,7.0,Đã sử dụng,599000000
Honda,CR V,2021.0,66000.0,Xăng,5,1.0,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,855000000
Ford,Transit,2018.0,127000.0,Dầu,Số sàn,1.0,Việt Nam,Minivan (MPV),16.0,Đã sử dụng,445000000
Hyundai,Elantra,2020.0,76000.0,Xăng,Tự động,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,475000000
BMW,X7,2022.0,40000.0,Xăng,Tự động,,Nước khác,--,,Đã sử dụng,4800000000
Mercedes Benz,C Class,2024.0,2600.0,Xăng,Tự động,1.0,Đức,Sedan,5.0,Đã sử dụng,4799000000
Hyundai,Grand i10,2015.0,250000.0,Xăng,Số sàn,,Việt Nam,Hatchback,5.0,Đã sử dụng,105000000
Ford,Ranger,2016.0,100000.0,Dầu,Tự động,,Thái Lan,Pick-up (bán tải),5.0,Đã sử dụng,558000000
Mercedes Benz,GLC Class,2018.0,80000.0,Xăng,Tự động,,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,1099000000
VinFast,VF3,2025.0,,Điện,Tự động,,Việt Nam,--,4.0,Mới,240000000
Toyota,Fortuner,2016.0,82400.0,Xăng,Tự động,,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,571000000
VinFast,Lux SA2.0,2021.0,130000.0,Xăng,Tự động,1.0,Việt Nam,--,7.0,Đã sử dụng,699000000
Hyundai,Accent,2023.0,9800.0,Xăng,Tự động,,Việt Nam,Sedan,5.0,Đã sử dụng,458000000
Ford,Ranger,2023.0,490000.0,Dầu,Tự động,,Thái Lan,Pick-up (bán tải),5.0,Đã sử dụng,1165000000
Nissan,Sunny,2013.0,160000.0,Xăng,Số sàn,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,130000000
Ford,Ranger,2022.0,29900.0,Dầu,Tự động,1.0,Việt Nam,Pick-up (bán tải),5.0,Đã sử dụng,745000000
Ford,Ranger,2013.0,80000.0,Dầu,Số sàn,1.0,Thái Lan,--,,Đã sử dụng,330000000
Toyota,Fortuner,2021.0,77000.0,Dầu,Số sàn,1.0,Đang cập nhật,SUV / Cross over,7.0,Đã sử dụng,845000000
VinFast,VF3,2025.0,,Điện,Tự động,,Việt Nam,--,4.0,Mới,299000000
Peugeot,3008,2018.0,90000.0,Xăng,Tự động,1.0,Việt Nam,Minivan (MPV),5.0,Đã sử dụng,569000000
VinFast,Lux SA2.0,2019.0,70000.0,Xăng,Tự động,1.0,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,620000000
Mercedes Benz,C Class,2018.0,70000.0,Xăng,Tự động,,Việt Nam,Sedan,5.0,Đã sử dụng,899000000
Hyundai,Grand i10,2016.0,35000.0,Xăng,Tự động,1.0,Hàn Quốc,Hatchback,5.0,Đã sử dụng,300000000
VinFast,Lux A2.0,2022.0,160000.0,Xăng,Tự động,1.0,Việt Nam,Sedan,2.0,Đã sử dụng,490000000
Kia,Soluto,2024.0,31000.0,Xăng,Tự động,,Việt Nam,Sedan,5.0,Đã sử dụng,405000000
Mercedes Benz,V Class,2020.0,40000.0,Xăng,Tự động,1.0,Nước khác,Minivan (MPV),7.0,Đã sử dụng,1799000000
Ford,Ranger,2023.0,48000.0,Dầu,Tự động,1.0,Thái Lan,Pick-up (bán tải),5.0,Đã sử dụng,1165000000
Mazda,CX 5,2017.0,98000.0,Xăng,Tự động,,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,539000000
Kia,Sonet,2023.0,16000.0,Xăng,Tự động,1.0,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,563000000
Toyota,Innova,2014.0,75000.0,Xăng,Số sàn,1.0,Việt Nam,Minivan (MPV),7.0,Đã sử dụng,365000000
Ford,Explorer,2017.0,65000.0,Xăng,Tự động,1.0,Mỹ,SUV / Cross over,8.0,Đã sử dụng,965000000
Toyota,Innova,2016.0,128000.0,Xăng,Số sàn,1.0,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,395000000
Toyota,Vios,2018.0,148000.0,Xăng,Tự động,,Nhật Bản,Sedan,5.0,Đã sử dụng,319000000
Hyundai,Sonata,2015.0,750000.0,Xăng,Tự động,,Hàn Quốc,--,,Đã sử dụng,428000000
Mercedes Benz,GLC,2021.0,36000.0,Xăng,Tự động,,Đang cập nhật,SUV / Cross over,5.0,Đã sử dụng,1400000000
Mitsubishi,Xpander,2019.0,89000.0,Xăng,Tự động,,Nước khác,Minivan (MPV),7.0,Đã sử dụng,455000000
Mazda,CX 8,2021.0,19000.0,Xăng,Tự động,1.0,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,780000000
